City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,wailua homesteads,22.0669,-159.378,26.24,72,40,3.6,US,1714509068
258,coyhaique,-45.5752,-72.0662,5.97,75,100,2.06,CL,1714509069
259,yuzhno-kurilsk,44.0306,145.8556,3.54,74,86,10.35,RU,1714509069
260,kholmsk,47.0511,142.0569,3.68,83,2,1.04,RU,1714509069
261,namsos,64.4662,11.4957,11.95,50,0,3.09,NO,1714509070
262,touros,-5.1989,-35.4608,25.85,85,95,2.8,BR,1714509070
263,longyearbyen,78.2186,15.6401,0.91,80,75,4.12,SJ,1714509070
264,cumana,10.4635,-64.1775,28.66,70,62,6.61,VE,1714509071
265,terrace,54.5163,-128.6035,10.95,53,75,2.06,CA,1714508832
266,nadi,-17.8,177.4167,27.0,83,20,0.0,FJ,1714509072
267,acapulco de juarez,16.8634,-99.8901,30.9,62,40,5.66,MX,1714509057
268,ialibu,-6.2821,143.9935,15.22,98,88,0.45,PG,1714509072
269,dakhla,23.6848,-15.958,18.01,77,0,11.32,EH,1714508777
270,hassi messaoud,31.6804,6.0729,24.92,25,0,9.26,DZ,1714509073
271,puerto baquerizo moreno,-0.9,-89.6,29.55,54,20,6.69,EC,1714509073
272,talnakh,69.4865,88.3972,-15.49,96,100,3.25,RU,1714508948
273,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,70,0,7.6,RU,1714508944
274,st. john's,47.5649,-52.7093,5.5,98,100,6.17,CA,1714509007
275,haiku-pauwela,20.9219,-156.3051,27.32,71,40,2.24,US,1714509075
276,monticello,45.3055,-93.7941,19.62,54,40,5.14,US,1714509075
277,miguelturra,38.9644,-3.8905,13.28,91,40,5.36,ES,1714509075
278,dudinka,69.4058,86.1778,-17.34,97,100,3.37,RU,1714509076
279,amga,60.8953,131.9608,-1.86,70,4,3.15,RU,1714509076
280,port lincoln,-34.7333,135.8667,14.29,62,99,7.41,AU,1714509076
281,pagsanghan,11.9657,124.7212,24.03,87,97,2.32,PH,1714509077
282,fale old settlement,-9.3852,-171.2468,29.48,76,100,5.53,TK,1714509077
283,thompson,55.7435,-97.8558,4.09,65,100,1.03,CA,1714508923
284,salalah,17.0151,54.0924,30.05,79,75,3.6,OM,1714509078
285,enewetak,11.3474,162.3373,27.49,77,43,8.04,MH,1714509078
286,lavelanet,42.9313,1.8466,12.81,89,100,1.29,FR,1714509078
287,greenfield,42.9614,-88.0126,21.81,44,40,4.12,US,1714509079
288,palikir - national government center,6.9248,158.1611,27.41,83,100,2.06,FM,1714508938
289,saint-pourcain-sur-sioule,46.3093,3.2879,12.84,91,96,0.43,FR,1714509079
290,kamina,-8.7386,24.9906,21.08,68,98,1.54,CD,1714509080
291,ambovombe,-25.1667,46.0833,23.29,80,14,1.78,MG,1714509080
292,port mathurin,-19.6833,63.4167,25.75,63,39,8.34,MU,1714509080
293,yarrawonga,-36.0167,146.0,6.52,70,0,2.75,AU,1714509081
294,tangalle,6.024,80.7911,26.3,90,100,2.25,LK,1714509081
295,ulsteinvik,62.3432,5.8487,12.73,78,82,0.89,NO,1714509082
296,tripoli,32.8752,13.1875,21.4,67,100,5.6,LY,1714509082
297,beni,0.5,29.4667,18.45,99,100,1.25,CD,1714509082
298,nishinoomote,30.7333,131.0,19.29,92,100,1.47,JP,1714509083
299,port alfred,-33.5906,26.891,16.77,84,65,1.34,ZA,1714509083
300,la'ie,21.6477,-157.9253,26.98,75,76,2.68,US,1714509083
301,peterhead,57.5058,-1.7981,8.58,91,1,8.07,GB,1714509084
302,chom thong,18.4174,98.6743,29.14,58,30,2.05,TH,1714509084
303,berezovyy,51.6667,135.7,5.63,76,100,1.38,RU,1714509085
304,preobrazheniye,42.9019,133.9064,5.68,64,0,2.76,RU,1714509085
305,altamira,-3.2033,-52.2064,25.58,96,100,1.49,BR,1714509085
306,belyy yar,53.6039,91.3903,-2.06,86,0,0.0,RU,1714509086
307,kill devil hills,36.0307,-75.676,25.01,61,0,8.23,US,1714509086
308,marka,1.7159,44.7717,28.32,82,99,7.52,SO,1714509087
309,cobija,-11.0267,-68.7692,35.1,55,40,3.6,BO,1714509087
310,rongelap,11.1635,166.8941,27.37,83,100,9.4,MH,1714509087
311,massenya,11.4039,16.1705,34.87,14,78,3.65,TD,1714509088
312,coquimbo,-29.9533,-71.3436,17.85,72,0,6.17,CL,1714509058
313,sinabang,2.4803,96.3801,26.59,87,99,1.51,ID,1714509088
314,mabaruma,8.2,-59.7833,29.12,63,100,2.55,GY,1714509089
315,barcelona,41.3888,2.159,16.49,76,75,1.54,ES,1714508388
316,ayas,40.0193,32.3322,15.6,82,100,1.36,TR,1714509090
317,ascension,30.2169,-90.9001,31.72,50,0,0.0,US,1714509090
318,ugoofaaru,5.6667,73.0,26.85,86,100,6.87,MV,1714509090
319,markovo,57.3206,107.0881,-4.59,90,89,3.32,RU,1714509091
320,ebaye,8.7748,167.7392,29.01,74,40,9.26,MH,1714509092
321,caninde,-4.3589,-39.3117,22.74,95,100,1.65,BR,1714509092
322,mournies,35.4764,24.0092,19.35,94,20,1.54,GR,1714509092
323,odessa,46.4775,30.7326,15.37,53,0,6.98,UA,1714508880
324,kijang,35.2442,129.2139,12.85,86,100,7.71,KR,1714509093
325,qulsary,46.9531,54.0198,14.56,45,100,6.97,KZ,1714509094
326,castro,-24.7911,-50.0119,21.19,69,1,2.17,BR,1714509094
327,harnai,30.1005,67.9374,17.66,25,0,3.98,PK,1714509094
328,rio grande,-32.035,-52.0986,22.06,95,76,3.12,BR,1714509095
329,hualien city,23.9769,121.6044,25.78,71,53,2.14,TW,1714509095
330,arica,-18.475,-70.3042,25.75,60,0,4.12,CL,1714508863
331,katsuura,35.1333,140.3,19.01,93,100,2.39,JP,1714509096
332,aripuana,-9.1667,-60.6333,28.18,73,100,1.32,BR,1714509096
333,laguna,38.421,-121.4238,24.8,31,0,5.14,US,1714508962
334,codrington,-38.2667,141.9667,13.16,80,100,6.58,AU,1714509097
335,blenheim,-41.516,173.9528,13.62,74,76,0.45,NZ,1714509097
336,merouana,35.6311,5.9119,7.83,82,89,3.32,DZ,1714509098
337,alofi,-19.0595,-169.9187,27.94,78,40,3.6,NU,1714509098
338,medina de rioseco,41.8833,-5.0441,9.63,87,45,7.05,ES,1714509099
339,wildomar,33.5989,-117.28,29.49,43,0,2.24,US,1714509099
340,palmas,-10.2128,-48.3603,32.93,52,20,2.06,BR,1714508432
341,fauske,67.2588,15.3918,7.1,89,100,2.84,NO,1714509100
342,ust-nera,64.5667,143.2,-7.78,94,100,2.35,RU,1714509100
343,sanibel,26.449,-82.0223,31.14,62,100,3.13,US,1714509100
344,fuglafjordur,62.244,-6.814,8.26,91,100,5.19,FO,1714509101
345,pervomayskiy,53.2485,40.2871,12.52,68,28,4.5,RU,1714509101
346,ketchikan,55.3422,-131.6461,11.26,71,100,3.09,US,1714509102
347,rio gallegos,-51.6226,-69.2181,6.03,49,40,7.2,AR,1714508837
348,puerto madero,14.7208,-92.4215,35.11,52,75,5.66,MX,1714509103
349,betio village,1.358,172.9211,29.02,80,52,8.0,KI,1714509103
350,eenhana,-17.4667,16.3333,18.36,34,1,3.2,NA,1714509103
351,igarapava,-20.0383,-47.7469,24.84,48,0,1.53,BR,1714509104
352,santo antonio,-6.3106,-35.4789,25.15,84,86,2.98,BR,1714509104
353,batangafo,7.3008,18.2833,29.09,40,81,2.88,CF,1714509105
354,rawson,-43.3002,-65.1023,11.16,41,7,16.06,AR,1714509105
355,kollegal,12.15,77.1167,25.85,71,99,2.55,IN,1714509105
356,swakopmund,-22.6833,14.5333,20.47,80,0,1.79,NA,1714509106
357,choibalsan,48.0667,114.5,12.47,21,51,6.71,MN,1714509106
358,parry sound,45.3501,-80.033,12.03,94,96,3.58,CA,1714508863
359,alakurtti,66.9672,30.3491,-0.01,91,100,1.41,RU,1714509107
360,tutoia,-2.7619,-42.2744,25.77,88,100,3.77,BR,1714509107
361,chania,35.5122,24.0156,15.78,88,20,0.0,GR,1714509107
362,nova sintra,14.8667,-24.7167,24.01,81,4,7.24,CV,1714509108
